text,person,fiction_or_not
"Ye[a] (/jeɪ/ YAY; born Kanye Omari West /ˈkɑːnjeɪ/ KAHN-yay; June 8, 1977) is an American rapper, singer, songwriter, record producer, and fashion designer. One of the most prominent figures in hip hop,[3] he is known for his varying musical style[4] and polarizing cultural and political commentary.[5] After dropping out of college to pursue a career in music, West began producing for regional artists in the Chicago area. As an in-house producer for Roc-A-Fella Records, he co-produced albums including Jay-Z's The Blueprint (2001) before signing with the label as a recording artist. West's debut studio album, The College Dropout (2004), was met with critical acclaim and yielded the Billboard Hot 100-number one single ""Slow Jamz"". He peaked the chart on four other occasions with the singles ""Gold Digger"" (2005), ""Stronger"" (2007), ""E.T."" (2011, as a featured artist), and ""Carnival"" (2024).",kanye.txt,True
"West's second and third studio albums, Late Registration (2005) and Graduation (2007), both debuted atop the Billboard 200, the latter becoming West's most commercially successful to date. Three of his subsequent albums, 808s & Heartbreak (2008), My Beautiful Dark Twisted Fantasy (2010), and The Life of Pablo (2016), were certified triple platinum, and Yeezus (2013) was certified double platinum. While not as well-received critically as his previous efforts, Ye (2018), Jesus Is King (2019), and Donda (2021) continued West's series of consecutive number one debuts on the Billboard 200. West has also released the collaborative albums Watch the Throne (2011) with Jay-Z, Kids See Ghosts (2018) with Kid Cudi, and Vultures 1 and Vultures 2 (2024) with Ty Dolla Sign. In fashion design, he has collaborated with Nike, Inc., Louis Vuitton, and Gap Inc. on clothing and footwear, and led the Yeezy collaboration with Adidas.",kanye.txt,True
"One of the world's best-selling music artists with 160 million records sold, West has won 24 Grammy Awards, the joint 11th-most of all time and most awarded for any hip hop artist along with Jay-Z.[6] His other accolades include a Billboard Artist Achievement Award, a joint-record three Brit Awards for Best International Male Solo Artist, and the Michael Jackson Video Vanguard Award.[7] West holds the joint record (with Bob Dylan) for most albums (4) topping the annual Pazz & Jop critic poll. Time named him one of the 100 most influential people in the world in 2005 and 2015.[8][9] West's first six solo albums were included on Rolling Stone's 500 Greatest Albums of All Time list in 2020, with the same publication naming him one of the 100 Greatest Songwriters of All Time.[10]",kanye.txt,True
"West's outspoken views have received significant media coverage. He has been a frequent source of controversy due to his conduct on social media, at award shows and public settings, as well as his comments on the music and fashion industries, U.S. politics, race, and slavery. His Christian faith, high-profile marriage to Kim Kardashian, and mental health have also been topics of media attention.[11][12][13] In 2020, West launched an unsuccessful independent presidential campaign that advocated for a consistent life ethic. In October 2022, he was widely condemned and lost many sponsors and partnerships—including his collaborations with Adidas, Gap, and Balenciaga—after making a series of antisemitic statements, including denying the Holocaust.",kanye.txt,True
Early life,kanye.txt,True
"West was born on June 8, 1977, in Atlanta, Georgia.[c] After his parents divorced when he was three years old, he moved with his mother to Chicago, Illinois.[16][17] His father, Ray West, is a former Black Panther and was one of the first black photojournalists at The Atlanta Journal-Constitution. Ray later became a Christian counselor,[17] and in 2006, opened the Good Water Store and Café in Lexington Park, Maryland, with startup capital from his son.[18][19] West's mother, Donda C. West (née Williams),[20] was a professor of English at Clark Atlanta University and the Chair of the English Department at Chicago State University before retiring to serve as his manager.",kanye.txt,True
"West was raised in a middle-class environment, attending Polaris School for Individual Education[21] in suburban Oak Lawn, Illinois, after living in Chicago.[22] At the age of 10, West moved with his mother to Nanjing, China, where she was teaching at Nanjing University as a Fulbright Scholar.[23] According to his mother, West was the only foreigner in his class, but he settled in well and quickly picked up the language, although he has since forgotten most of it.[24] When asked about his grades in high school, West replied, ""I got A's and B's.""[25]",kanye.txt,True
"West demonstrated an affinity for the arts at an early age; he began writing poetry when he was five years old.[26] West started rapping in the third grade and began making musical compositions in the seventh grade, eventually selling them to other artists.[27] West crossed paths with producer No I.D., who became West's friend and mentor.[28]: 557  After graduating from high school, West received a scholarship to attend Chicago's American Academy of Art in 1997 and began taking painting classes. Shortly after, he transferred to Chicago State University to study English. At age 20, he dropped out to pursue his musical career.[29] This greatly displeased his mother, who was also a professor at the university, although she would later accept the decision.[28]: 558",kanye.txt,True
Musical career,kanye.txt,True
1996–2002: Early work and Roc-A-Fella,kanye.txt,True
"West began his early production career in the mid-1990s, creating beats primarily for burgeoning local artists in the Chicago area. He received his first official production credits at age nineteen, when he produced eight tracks on Down to Earth, the 1996 debut album of Chicago-based underground rapper Grav.[30] In 1998, West was the first producer signed to the management-production company Hip Hop Since 1978, founded by Gee Roberson and Kyambo ""Hip-Hop"" Joshua.[31] For a time, West acted as a ghost producer for Deric ""D-Dot"" Angelettie. Due to his association with Angelettie, West was not able to release a solo album, so he formed the Go-Getters, a hip hop group composed of him and fellow Chicago natives GLC, Timmy G, Really Doe, and Arrowstar.[32][33] The Go-Getters independently released their first and only studio album, World Record Holders in 1999 through West's company, Konman Productions.[32] West spent much of the late 1990s further producing for several musical acts.[34] He produced the third track on Foxy Brown's second studio album Chyna Doll (1999), which became the second hip-hop album by a female rapper to peak atop the US Billboard 200 chart.[34]",kanye.txt,True
West received early acclaim for his production work on Jay-Z's The Blueprint. The two are pictured here in 2011.,kanye.txt,True
